pyears,n,event,rate,term,group,outcome,analysis,pyears_unexposed,ratio,ratio_text
35.148528405201915,269,NA,0,severity2,severity,bisphosphonate,sens_no_asthma,805.3935660506503,18.867936630107113,1:19
NA,53,NA,0,severity3,severity,bisphosphonate,sens_no_asthma,805.3935660506503,18.867936630107113,1:19
890.5927446954141,6524,NA,4.491390732548595,asthma0,asthma,bisphosphonate,sens_no_asthma,890.5927446954141,Inf,1:Inf
NA,NA,NA,NA,asthma1,asthma,bisphosphonate,sens_no_asthma,890.5927446954141,Inf,1:Inf
889.6071184120466,6516,NA,4.496366898614774,alc0,alc,bisphosphonate,sens_no_asthma,889.6071184120466,902.5805555555556,1:903
NA,NA,NA,0,alc1,alc,bisphosphonate,sens_no_asthma,889.6071184120466,902.5805555555556,1:903
3454.3901437371665,24701,21,6.079220680406684,patternintermittent,pattern,bisphosphonate,sens_all_ages,3454.3901437371665,9.50545443587271,1:10
363.4113620807666,3846,NA,22.013621022179365,patterncontinuous,pattern,bisphosphonate,sens_all_ages,3454.3901437371665,9.50545443587271,1:10
165.94934976043805,1167,NA,12.051870060878029,cumdaysfew,cumdays,bisphosphonate,sens_all_ages,165.94934976043805,0.04544251592583513,1:0
3651.852156057495,27380,27,7.393508511896862,cumdaysmany,cumdays,bisphosphonate,sens_all_ages,165.94934976043805,0.04544251592583513,1:0
1008.0164271047228,7514,NA,8.928425924416995,pattern_rt_gapintermittent,pattern_rt_gap,bisphosphonate,sens_all_ages,1008.0164271047228,0.3587521461130263,1:0
2809.78507871321,21033,20,7.11798213732395,pattern_rt_gapcontinuous,pattern_rt_gap,bisphosphonate,sens_all_ages,1008.0164271047228,0.3587521461130263,1:0
3476.090349075975,26034,27,7.767347015930476,pattern_laggedintermittent,pattern_lagged,bisphosphonate,sens_all_ages,3476.090349075975,10.172598349491226,1:10
341.71115674195755,2513,NA,5.852896402531849,pattern_laggedcontinuous,pattern_lagged,bisphosphonate,sens_all_ages,3476.090349075975,10.172598349491226,1:10
2667.359342915811,19621,15,5.623539265468006,pattern_ittintermittent,pattern_itt,bisphosphonate,sens_all_ages,2667.359342915811,2.31855144824238,1:2
1150.442162902122,8926,14,12.169234100985484,pattern_ittcontinuous,pattern_itt,bisphosphonate,sens_all_ages,2667.359342915811,2.31855144824238,1:2
97.56057494866529,664,NA,20.500084189257453,cumdose450 to 899 mg,cumdose,bisphosphonate,sens_all_ages,97.56057494866529,0.584998276230033,1:1
166.77070499657768,1203,NA,0,cumdose900 to 1500 mg,cumdose,bisphosphonate,sens_all_ages,97.56057494866529,0.584998276230033,1:1
3553.4702258726898,26680,27,7.598206340217505,cumdose>1500 mg,cumdose,bisphosphonate,sens_all_ages,97.56057494866529,0.584998276230033,1:1
3489.760438056126,26132,25,7.163815523659714,severity0,severity,bisphosphonate,sens_all_ages,3489.760438056126,18.733337252538913,1:19
186.2861054072553,1378,NA,21.472347555150574,severity1,severity,bisphosphonate,sens_all_ages,3489.760438056126,18.733337252538913,1:19
124.40246406570841,907,NA,0,severity2,severity,bisphosphonate,sens_all_ages,3489.760438056126,18.733337252538913,1:19
17.352498288843258,130,NA,0,severity3,severity,bisphosphonate,sens_all_ages,3489.760438056126,18.733337252538913,1:19
3795.2032854209447,28369,28,7.377733916799764,asthma0,asthma,bisphosphonate,sens_all_ages,3795.2032854209447,167.94257329779504,1:168
22.598220396988363,178,NA,44.25127211049188,asthma1,asthma,bisphosphonate,sens_all_ages,3795.2032854209447,167.94257329779504,1:168
3811.8877481177274,28506,29,7.607779115300526,alc0,alc,bisphosphonate,sens_all_ages,3811.8877481177274,644.5796296296296,1:645
